delivery_type,phone_name,phone_price,seller_customer_rating,seller_followers,seller_name,seller_quality_score,seller_score,seller_shipping_speed,units_left,verified_ratings
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,6 units left,0
Jumia Nigeria,IPhone 13 Pro,980000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,1
Jumia Global,iPhone 5,44550 - 63985,,22 ,Figer,Excellent,90,Good,In stock,0
Jumia Nigeria,Iphone X,490000,,305 ,TOPMAN PHONES,Excellent,90,Good,5 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro Max,1998900,Good,141 ,VEE HUB,Excellent,80,Average,1 units left,0
Jumia Nigeria,IPhone 11 ,570000,,305 ,TOPMAN PHONES,Excellent,90,Good,5 units left,5
Jumia Nigeria,IPhone 15 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,3 units left,1
Jumia Nigeria,IPhone 14 Pro Max,1550000,,601 ,BEST CLASS STORES,Excellent,90,Good,4 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1450000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 11 Pro Max,765000,,305 ,TOPMAN PHONES,Excellent,90,Good,In stock,3
Jumia Nigeria,IPhone 13 ,1100999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,5 units left,1
Jumia Global,iPhone X,337887,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1500000,Average,2134 ,Lamisol Gadgets,Excellent,86,Excellent,3 units left,2
Jumia Nigeria,IPHONE 12 PRO MAX,950000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,1
Jumia Express,IPhone 6,143000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,In stock,3
Jumia Express,IPHONE 12 PRO,590000,Good,237 ,BARGAIN PHONES & GADGET - AC,Very Poor,66,Excellent,1 units left,7
Jumia Global,iPhone 6 ,101366,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Express,IPhone 12 ,453700,Good,237 ,BARGAIN PHONES & GADGET - AC,Very Poor,66,Excellent,1 units left,1
Jumia Nigeria,IPhone 11 Pro Max,755000,,601 ,BEST CLASS STORES,Excellent,90,Good,2 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1550000,,601 ,BEST CLASS STORES,Excellent,90,Good,3 units left,0
Jumia Express,IPhone 12 ,610000,Good,237 ,BARGAIN PHONES & GADGET - AC,Very Poor,66,Excellent,2 units left,1
Jumia Nigeria,IPhone 12 Pro,765000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Express,IPhone 6,135000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,2 units left,0
Jumia Nigeria,IPhone 12 ,590000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,5 units left,2
Jumia Nigeria,IPhone 14 Pro Max,1550000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,0
Jumia Nigeria,IPhone 16 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro,765000,,601 ,BEST CLASS STORES,Excellent,90,Good,7 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1550000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,5 units left,0
Jumia Nigeria,IPhone 13 Pro,950000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,1
Jumia Nigeria,IPhone 12 Pro Max,880000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,1
Jumia Nigeria,IPhone 15 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 12,665000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,6 units left,9
Jumia Nigeria,IPhone 11 ,755000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Express,IPhone 6,135000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,3 units left,0
Jumia Nigeria,IPhone 12 Pro Max,930000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 14 Pro Max,1490000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Global,IPHONE 11 ,426966,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone 14 Pro,1380000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 14 ,1465999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,1 units left,0
Jumia Nigeria,IPhone 14 Pro,1400000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Global,iPhone 7 ,170479,,1 ,Shengtu,,60,,In stock,0
Jumia Express,IPhone 6,143000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,2 units left,0
Jumia Nigeria,IPhone 13 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,8 units left,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,2
Jumia Nigeria,IPhone 14 Pro Max,1480000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1230000,,601 ,BEST CLASS STORES,Excellent,90,Good,7 units left,0
Jumia Nigeria,IPhone 11 ,570000,,305 ,TOPMAN PHONES,Excellent,90,Good,3 units left,3
Jumia Nigeria,IPhone 12 Pro Max,950000,,601 ,BEST CLASS STORES,Excellent,90,Good,6 units left,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,6 units left,1
Jumia Nigeria,IPHONE 12 PRO MAX,896000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,1
Jumia Nigeria,IPhone 15 Pro Max,1940999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,1 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2100000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1180000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 14 Pro,1400000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 14 Pro,1380000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Express,IPhone 13 ,742000,Average,214 ,UNAGI-COD,Very Poor,54,Excellent,1 units left,0
Jumia Nigeria,IPhone 13 ,790000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 12 Pro,760000,,159 ,Cryztal Accessories,Excellent,100,Excellent,7 units left,0
Jumia Nigeria,IPhone 15 Pro Max,1920000,Average,2134 ,Lamisol Gadgets,Excellent,86,Excellent,1 units left,0
Jumia Global,iPhone X,428502,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,2100999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,2
Jumia Global,iPhone 8 ,298638,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone 8 ,249149,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone 8 ,298638,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone 11 Pro,526797,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,930000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,7 units left,4
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 14 Pro Max,1550000,,159 ,Cryztal Accessories,Excellent,100,Excellent,4 units left,0
Jumia Nigeria,IPhone12 Pro Max,890000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,3
Jumia Nigeria,IPhone 13 ,790000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 14 Pro Max,1490000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,935000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro,780000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Nigeria,IPhone 12 Pro Max,930000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Global,iPhone 8 ,320822,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 14 Pro,1400000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Global,IPHONE 11 ,483793,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone 13 ,790000,,159 ,Cryztal Accessories,Excellent,100,Excellent,7 units left,0
Jumia Nigeria,iPhone 14 ,1299999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,1
Jumia Nigeria,IPhone 14 Pro Max,1480000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Nigeria,IPhone 11 ,790000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Global,iPhone X,452223,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 15 Pro Max,2100000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,,159 ,Cryztal Accessories,Excellent,100,Excellent,8 units left,0
Jumia Nigeria,IPhone12 Pro Max,920000,,601 ,BEST CLASS STORES,Excellent,90,Good,9 units left,0
Jumia Nigeria,IPhone 12 Pro Max,930000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 11,570000,Poor,356 ,HIGH CLASS SOTRE,Excellent,66,Average,In stock,3
Jumia Nigeria,IPhone 14 Pro Max,1550000,,159 ,Cryztal Accessories,Excellent,100,Excellent,6 units left,0
Jumia Nigeria,IPhone 11 Pro Max,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,iPhone 15 ,1350999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 11 Pro Max,760000,Good,315 ,Don Chris Links,Excellent,86,Good,9 units left,1
Jumia Nigeria,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,26980,Good,106 ,Fenty stores,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro Max,2100000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1180000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,4 units left,0
Jumia Nigeria,IPhone 13 ,1100999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2650999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 11 Pro Max,760000,Good,315 ,Don Chris Links,Excellent,86,Good,9 units left,0
Jumia Global,iPhone 12 ,598982,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Global,iPhone 11 Pro,612634,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,5 units left,1
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1230000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 15 ,1999999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2399999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 15 Pro Max,2100000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,950000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Global,iPhone 11 ,499151,Good,10 ,Huajie,Very Poor,46,Average,In stock,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPHONE 12 PRO MAX,950000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,Iphone 13Pro,890000,,,Braams Store,,60,,1 units left,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone12 Pro Max,890000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 15 ,1999999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,,159 ,Cryztal Accessories,Excellent,100,Excellent,3 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1230000,,601 ,BEST CLASS STORES,Excellent,90,Good,8 units left,0
Jumia Nigeria,IPhone SE ,999999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPhone 11 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone11 Pro Max,760000,,601 ,BEST CLASS STORES,Excellent,90,Good,2 units left,1
Jumia Nigeria,IPhone 12 ,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,895000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 14 ,1299999,Excellent,2456 ,Apple Authorized Reseller,Excellent,94,Good,2 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,155 ,TELECOM LINKS7,Excellent,70,Poor,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 16 Pro,3500000,Average,2134 ,Lamisol Gadgets,Excellent,86,Excellent,1 units left,0
Jumia Global,iPhone 8 ,268774,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1750000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 12 ,760000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,9 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1200000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,920000,,159 ,Cryztal Accessories,Excellent,100,Excellent,3 units left,0
Jumia Nigeria,IPHONE 11 PRO MAX,751000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Nigeria,IPHONE 11 ,750000,,758 ,MOBILE LINKS77,Excellent,90,Good,In stock,0
Jumia Global,iPhone 8 ,270310,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,2 units left,0
Jumia Nigeria,IPhone 13 Pro Max,1100000,Average,905 ,CHRIS COMMUNICATIONS TECHNOLOGY,Excellent,80,Good,In stock,1
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,3 units left,0
Jumia Nigeria,IPhone 12 Pro Max,880000,,159 ,Cryztal Accessories,Excellent,100,Excellent,2 units left,0
Jumia Global,iPhone 11 Pro,645057,,1 ,Shengtu,,60,,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone X,760000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1650000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 15 Pro,1650000,,601 ,BEST CLASS STORES,Excellent,90,Good,In stock,0
Jumia Nigeria,IPhone 13 ,790000,Good,315 ,Don Chris Links,Excellent,86,Good,In stock,0
